match_id,team_id,from_player_id,from_position,to_player_id,to_position,from_position_x,from_position_y,from_position_encoded
3795506,914,7788,Forward,3166,Midfield,60.0,40.0,1
3795506,914,3166,Midfield,11514,Defender,48.0,35.7,3
3795506,914,11514,Defender,7173,Defender,39.2,68.4,0
3795506,914,7173,Defender,6954,Defender,25.3,46.4,0
3795506,914,6954,Defender,7173,Defender,23.9,18.6,0
3795506,914,7173,Defender,7036,Goalkeeper,16.2,44.3,0
3795506,914,7788,Forward,7024,Midfield,60.0,40.0,1
3795506,914,7024,Midfield,11514,Defender,43.0,49.9,3
3795506,914,11514,Defender,7156,Forward,62.5,77.1,0
3795506,914,7156,Forward,7788,Forward,83.1,69.0,1
3795506,914,6954,Defender,4355,Defender,33.1,29.2,0
3795506,914,4355,Defender,3166,Midfield,38.8,15.1,0
3795506,914,3166,Midfield,7024,Midfield,44.7,18.6,3
3795506,914,7024,Midfield,7173,Defender,35.2,31.1,3
3795506,914,7173,Defender,7788,Forward,35.8,46.4,0
3795506,914,7788,Forward,7024,Midfield,65.4,44.3,1
3795506,914,7024,Midfield,8181,Midfield,72.0,47.0,3
3795506,914,11514,Defender,7036,Goalkeeper,21.4,73.7,0
3795506,914,7036,Goalkeeper,3166,Midfield,7.9,40.6,2
3795506,914,3166,Midfield,11514,Defender,29.6,48.1,3
3795506,914,11514,Defender,7788,Forward,56.3,73.2,0
3795506,914,7788,Forward,3166,Midfield,66.2,63.7,1
3795506,914,3166,Midfield,7173,Defender,48.9,69.8,3
3795506,914,7173,Defender,3166,Midfield,43.8,44.7,0
3795506,914,3166,Midfield,7024,Midfield,48.3,52.2,3
3795506,914,3166,Midfield,4355,Defender,50.9,41.9,3
3795506,914,4355,Defender,7788,Forward,63.7,14.1,0
3795506,914,7788,Forward,7037,Forward,79.4,21.6,1
3795506,914,7037,Forward,3166,Midfield,80.8,3.7,1
3795506,914,3166,Midfield,7037,Forward,79.1,9.4,3
3795506,914,7037,Forward,3166,Midfield,103.1,5.0,1
3795506,914,3166,Midfield,8181,Midfield,92.6,13.9,3
3795506,914,8181,Midfield,7156,Forward,90.3,49.2,3
3795506,914,4355,Defender,6954,Defender,69.4,0.1,0
3795506,914,6954,Defender,7173,Defender,54.3,6.5,0
3795506,914,7173,Defender,11514,Defender,43.4,33.5,0
3795506,914,11514,Defender,7156,Forward,61.2,64.7,0
3795506,914,3166,Midfield,7024,Midfield,13.0,28.1,3
3795506,914,7024,Midfield,7788,Forward,11.2,32.2,3
3795506,914,7788,Forward,7037,Forward,27.2,25.3,1
